filename, language, HTML, JSON, Markdown, JavaScript, CSS, XML, SCSS, comment, blank, total
README.md, Markdown, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
package-lock.json, JSON, 0, 17237, 0, 0, 0, 0, 0, 0, 1, 17238
package.json, JSON, 0, 58, 0, 0, 0, 0, 0, 0, 1, 59
public\app-info.json, JSON, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
public\index.html, HTML, 24, 0, 0, 0, 0, 0, 0, 24, 1, 49
public\manifest.json, JSON, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
src\App.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
src\App.js, JavaScript, 0, 0, 0, 199, 0, 0, 0, 0, 9, 208
src\App.test.js, JavaScript, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
src\actions\busyDialog.js, JavaScript, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
src\actions\eventManagementApi.js, JavaScript, 0, 0, 0, 30, 0, 0, 0, 3, 4, 37
src\actions\index.js, JavaScript, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
src\actions\iottimeseriesData.js, JavaScript, 0, 0, 0, 163, 0, 0, 0, 5, 6, 174
src\actions\languageDialog.js, JavaScript, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
src\actions\mindsphereDataUpdateInterval.js, JavaScript, 0, 0, 0, 217, 0, 0, 0, 10, 9, 236
src\actions\newRecipientDialog.js, JavaScript, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
src\actions\newRecipientForm.js, JavaScript, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
src\actions\powermonitorActivePowerData.js, JavaScript, 0, 0, 0, 103, 0, 0, 0, 4, 25, 132
src\actions\powermonitorData.js, JavaScript, 0, 0, 0, 156, 0, 0, 0, 3, 46, 205
src\actions\powermonitorForm.js, JavaScript, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
src\actions\snackbar.js, JavaScript, 0, 0, 0, 22, 0, 0, 0, 0, 5, 27
src\components\BusyDialog.js, JavaScript, 0, 0, 0, 58, 0, 0, 0, 0, 6, 64
src\components\ChartDataRangeTimePicker.js, JavaScript, 0, 0, 0, 67, 0, 0, 0, 0, 7, 74
src\components\ChartDataRangeTimeSlider.js, JavaScript, 0, 0, 0, 99, 0, 0, 0, 25, 13, 137
src\components\ChartLiveUpdateControls.js, JavaScript, 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
src\components\Elevation.js, JavaScript, 0, 0, 0, 2261, 0, 0, 0, 0, 12, 2273
src\components\ElevationTest.js, JavaScript, 0, 0, 0, 27, 0, 0, 0, 0, 7, 34
src\components\Events.js, JavaScript, 0, 0, 0, 133, 0, 0, 0, 0, 11, 144
src\components\LanguageSelectionDialog.js, JavaScript, 0, 0, 0, 60, 0, 0, 0, 0, 8, 68
src\components\Overview.js, JavaScript, 0, 0, 0, 1089, 0, 0, 0, 3, 36, 1128
src\components\OverviewTest.js, JavaScript, 0, 0, 0, 31, 0, 0, 0, 0, 7, 38
src\components\Powermonitor\Powermonitor15MinComponent.js, JavaScript, 0, 0, 0, 299, 0, 0, 0, 5, 26, 330
src\components\Powermonitor\Powermonitor15MinTableComponent.js, JavaScript, 0, 0, 0, 171, 0, 0, 0, 0, 10, 181
src\components\Powermonitor\Powermonitor15MinTrendComponent.js, JavaScript, 0, 0, 0, 245, 0, 0, 0, 0, 42, 287
src\components\Powermonitor\PowermonitorComponent.js, JavaScript, 0, 0, 0, 226, 0, 0, 0, 0, 20, 246
src\components\Powermonitor\PowermonitorDetailsPaperComponent.js, JavaScript, 0, 0, 0, 211, 0, 0, 0, 2, 19, 232
src\components\Powermonitor\PowermonitorEnergyTrendComponent.js, JavaScript, 0, 0, 0, 269, 0, 0, 0, 1, 39, 309
src\components\Powermonitor\PowermonitorNewRecipientDialogComponent.js, JavaScript, 0, 0, 0, 183, 0, 0, 0, 1, 20, 204
src\components\Powermonitor\PowermonitorOverviewComponent.js, JavaScript, 0, 0, 0, 46, 0, 0, 0, 0, 8, 54
src\components\Powermonitor\PowermonitorSettingsComponent.js, JavaScript, 0, 0, 0, 432, 0, 0, 0, 4, 29, 465
src\components\SlideupDialog.js, JavaScript, 0, 0, 0, 762, 0, 0, 0, 5, 34, 801
src\components\SnackbarNotifier.js, JavaScript, 0, 0, 0, 61, 0, 0, 0, 5, 12, 78
src\components\TimeSeriesChart.js, JavaScript, 0, 0, 0, 190, 0, 0, 0, 3, 20, 213
src\i18n.js, JavaScript, 0, 0, 0, 371, 0, 0, 0, 28, 13, 412
src\index.css, CSS, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
src\index.js, JavaScript, 0, 0, 0, 32, 0, 0, 0, 5, 8, 45
src\logo.svg, XML, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
src\reducers\busyDialogReducer.js, JavaScript, 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
src\reducers\chartReducer.js, JavaScript, 0, 0, 0, 103, 0, 0, 0, 0, 4, 107
src\reducers\dialogReducer.js, JavaScript, 0, 0, 0, 45, 0, 0, 0, 2, 3, 50
src\reducers\drawerReducer.js, JavaScript, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
src\reducers\eventsReducer.js, JavaScript, 0, 0, 0, 32, 0, 0, 0, 0, 2, 34
src\reducers\languageDialogReducer.js, JavaScript, 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
src\reducers\newRecipientDialogReducer.js, JavaScript, 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
src\reducers\powermonitorActivePowerReducer.js, JavaScript, 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
src\reducers\powermonitorReducer.js, JavaScript, 0, 0, 0, 42, 0, 0, 0, 0, 3, 45
src\reducers\rootReducer.js, JavaScript, 0, 0, 0, 27, 0, 0, 0, 0, 2, 29
src\reducers\snackbarReducer.js, JavaScript, 0, 0, 0, 41, 0, 0, 0, 0, 6, 47
src\reducers\switchesStateReducer.js, JavaScript, 0, 0, 0, 1024, 0, 0, 0, 0, 4, 1028
src\serviceWorker.js, JavaScript, 0, 0, 0, 92, 0, 0, 0, 31, 13, 136
src\services\powermonitorService.js, JavaScript, 0, 0, 0, 72, 0, 0, 0, 0, 14, 86
src\styles\Elevation.scss, SCSS, 0, 0, 0, 0, 0, 0, 44, 0, 6, 50
src\styles\Overview.scss, SCSS, 0, 0, 0, 0, 0, 0, 23, 0, 8, 31
src\styles\SlideupDialog.scss, SCSS, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
src\styles\_variables.scss, SCSS, 0, 0, 0, 0, 0, 0, 21, 0, 4, 25
src\utils\Decoder3VA.js, JavaScript, 0, 0, 0, 38, 0, 0, 0, 18, 11, 67
src\utils\Decoder3WL.js, JavaScript, 0, 0, 0, 29, 0, 0, 0, 14, 8, 51
src\utils\DecoderATSE.js, JavaScript, 0, 0, 0, 25, 0, 0, 0, 14, 8, 47
src\utils\DecoderSupply.js, JavaScript, 0, 0, 0, 26, 0, 0, 0, 14, 8, 48
src\utils\getDeviceNameForApiCall.js, JavaScript, 0, 0, 0, 34, 0, 0, 0, 0, 0, 34
src\utils\utilities.js, JavaScript, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
src\validation\Powermonitor.js, JavaScript, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
Total, -, 24, 17331, 1, 10101, 12, 7, 94, 229, 666, 28465